name,country_name,longitude,latitude,population,significance
Tehran,Iran,35.69439,51.42151,7153309,16327798796
Hyderabad,India,17.38405,78.45636,6809970,12943756353
Xi’an,China,34.25833,108.92861,6501190,68265066975
Ahmedabad,India,23.02579,72.58727,6357693,12084110379
Lahore,Pakistan,31.558,74.35071,6310888,7533517771
Shenyang,China,41.79222,123.43278,6255921,65689645442
Hangzhou,China,30.29365,120.16142,6241971,65543164923
Rio de Janeiro,Brazil,-22.90642,-43.18223,6023699,40942145672
Harbin,China,45.75,126.65,5878939,61731185302
Suzhou,China,31.30408,120.59538,5345961,56134705448
Shantou,China,23.36814,116.71479,5329024,55956860247
Bangkok,Thailand,13.75398,100.50144,5104476,36696291510
Saint Petersburg,Russian Federation,59.93863,30.31413,5028000,51761385676
Santiago,Chile,-33.45694,-70.64827,4837295,64005656602
Chennai,India,13.08784,80.27847,4681087,8897373938
Kolkata,India,22.56263,88.36304,4631392,8802918313
Sydney,Australia,-33.86785,151.20732,4627345,239752711924
Surat,India,21.19594,72.83023,4591246,8726612537
Taiyuan,China,37.86944,112.56028,4529141,47557772300
Yangon,Myanmar,16.80528,96.15611,4477638,6269670408
Jinan,China,36.66833,116.99722,4335989,45529599886
Zhengzhou,China,34.75778,113.64861,4253913,44667769416
Melbourne,Australia,-37.814,144.96332,4246375,220013835601
Riyadh,Saudi Arabia,24.68773,46.72185,4205961,84583205603
Changchun,China,43.88,125.32278,4193073,44028925347
Dalian,China,38.91222,121.60222,4087733,42922813672
Los Angeles,United States,34.05223,-118.24368,3971883,252387656378
Shijiazhuang,China,38.04139,114.47861,3938513,41355944639
Chattogram,Bangladesh,22.3384,91.83168,3920222,7718102593
Kunming,China,25.03889,102.71833,3855346,40482658236
Nanning,China,22.81667,108.31667,3839800,40319419086
Alexandria,Egypt,31.20176,29.91582,3811516,13522766504
Qingdao,China,36.06488,120.38042,3718835,39049238730
Busan,South Korea,35.10168,129.03004,3678555,115834469744
Abidjan,Ivory Coast,5.35444,-4.00167,3677115,8551953522
Kano,Nigeria,12.00012,8.51672,3626068,7604199909
Puyang,China,29.45679,119.88872,3590000,37696420261
Yokohama,Japan,35.43333,139.65,3574443,141329470218
Ibadan,Nigeria,7.37756,3.90591,3565108,7476361152
Singapore,Singapore,1.28967,103.85007,3547809,212151003364
Wuxi,China,31.56887,120.28857,3543719,37210451452
Xiamen,China,24.47979,118.08187,3531347,37080540557
Ankara,Turkey,39.91987,32.85427,3517182,30030294530
Ningbo,China,29.87819,121.54945,3491597,36663149832
Shiyan,China,32.6475,110.77806,3460000,36331368831
Cape Town,South Africa,-33.92584,18.42322,3433441,17478669685
Berlin,Germany,52.52437,13.41053,3426354,158326437154
Tangshan,China,39.63333,118.18333,3372102,35408405057
Hefei,China,31.86389,117.28083,3310268,34759123595
Changzhou,China,31.77359,119.95401,3290918,34555940940
Madrid,Spain,40.4165,-3.70256,3255944,88116243858
Pyongyang,North Korea,39.03385,125.75432,3222000,3577745811
Casablanca,Morocco,33.58831,-7.61138,3144909,9616970289
Zibo,China,36.79056,118.06333,3129228,32858131973
Pune,India,18.51957,73.85535,3124458,5938678597
Durban,South Africa,-29.8579,31.0292,3120282,15884466458
Fuzhou,China,26.06139,119.30611,3102421,32576647867
Changsha,China,28.19874,112.97087,3093980,32488014028
Kabul,Afghanistan,34.52813,69.17233,3043532,1548574676
Guiyang,China,26.58333,106.71667,3037159,31891371049
Ürümqi,China,43.80096,87.60046,3029372,31809604468
Caracas,Venezuela,10.48801,-66.87919,3000000,50889044063
Dubai,United Arab Emirates,25.07725,55.30927,2956587,125894175618
Haikou,China,20.04583,110.34167,2873358,30171395746
Jeddah,Saudi Arabia,21.49012,39.18624,2867446,57665245725
Kanpur,India,26.46523,80.34975,2823249,5366168600
Kyiv,Ukraine,50.45466,30.5238,2797553,9861831717
Luanda,Angola,-8.83682,13.23432,2776168,5262978422
Quezon City,Philippines,14.6488,121.0509,2761720,9110444377
Addis Ababa,Ethiopia,9.02497,38.74689,2757729,2582173243
Nairobi,Kenya,-1.28333,36.81667,2750547,5056082913
Zhongshan,China,22.52306,113.37912,2740994,28781521381
Baoding,China,38.85111,115.49028,2739887,28769897443
Chicago,United States,41.85003,-87.65005,2720546,172873226379
Salvador,Brazil,-12.97111,-38.51083,2711840,18431954904
Jaipur,India,26.91962,75.78781,2711758,5154256897
Dar es Salaam,Tanzania,-6.82349,39.26951,2698652,2819526431
Wenzhou,China,27.99942,120.66682,2686825,28212725451
Lanzhou,China,36.05701,103.83987,2628426,27599512847
Incheon,South Korea,37.45646,126.70515,2628000,82753414449
Yunfu,China,22.92833,112.03954,2612800,27435433665
Basrah,Iraq,30.50852,47.7804,2600000,10809459686
Toronto,Canada,43.70011,-79.4163,2600000,112471258432
Navi Mumbai,India,19.03681,73.01582,2600000,4941837705
Osaka,Japan,34.69374,135.50218,2592413,102501104613
Mogadishu,Somalia,2.03711,45.34375,2587183,800514404
Daegu,South Korea,35.87028,128.59111,2566540,80818092968
Maoming,China,21.65,110.9,2539148,26662058527
Faisalabad,Pakistan,31.41554,73.08969,2506595,2992206165
İzmir,Turkey,38.41273,27.13838,2500603,21350571166
